aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
23,104.1,2022-02-28:13,7.1,23.9,11.8,5.57,1.5,2022-03-01T00:00:00,2022-02-28T13:00:00,1646053200
16,148.9,2022-02-28:12,8.6,12.3,9.2,3.86,0.3,2022-02-28T23:00:00,2022-02-28T12:00:00,1646049600
16,148.9,2022-02-28:11,8.8,12.6,9.7,3.87,0.4,2022-02-28T22:00:00,2022-02-28T11:00:00,1646046000
15,137.4,2022-02-28:10,8.5,13.7,9.8,3.68,0.2,2022-02-28T21:00:00,2022-02-28T10:00:00,1646042400
16,137.4,2022-02-28:09,8.1,17.1,13.6,3.89,0.2,2022-02-28T20:00:00,2022-02-28T09:00:00,1646038800
13,137.4,2022-02-28:08,8,20.2,10.3,3.19,0.2,2022-02-28T19:00:00,2022-02-28T08:00:00,1646035200
15,126,2022-02-28:07,4.6,28.8,11.3,3.66,0.2,2022-02-28T18:00:00,2022-02-28T07:00:00,1646031600
20,126,2022-02-28:06,4,31.2,12.3,4.91,0.1,2022-02-28T17:00:00,2022-02-28T06:00:00,1646028000
17,137.4,2022-02-28:05,3.6,36.8,14.4,3.67,0.3,2022-02-28T16:00:00,2022-02-28T05:00:00,1646024400
19,171.8,2022-02-28:04,3.2,40.9,12,4.23,0.3,2022-02-28T15:00:00,2022-02-28T04:00:00,1646020800
30,206.1,2022-02-28:03,3.7,40.3,10,7.1,0.2,2022-02-28T14:00:00,2022-02-28T03:00:00,1646017200
21,217.6,2022-02-28:02,5.1,36.2,8.6,5.09,0.3,2022-02-28T13:00:00,2022-02-28T02:00:00,1646013600
16,217.6,2022-02-28:01,4.7,33.6,8.8,3.52,0.4,2022-02-28T12:00:00,2022-02-28T01:00:00,1646010000
22,229,2022-02-28:00,5.4,29.3,10.1,5.36,0.9,2022-02-28T11:00:00,2022-02-28T00:00:00,1646006400
17,217.6,2022-02-27:23,6.9,23.5,11.3,3.99,1.6,2022-02-28T10:00:00,2022-02-27T23:00:00,1646002800
19,217.6,2022-02-27:22,9,14.9,10,4.62,1.3,2022-02-28T09:00:00,2022-02-27T22:00:00,1645999200
18,217.6,2022-02-27:21,10.3,8.9,19.5,2.67,0.6,2022-02-28T08:00:00,2022-02-27T21:00:00,1645995600
15,171.8,2022-02-27:20,9.1,5.8,16.6,3.24,0.5,2022-02-28T07:00:00,2022-02-27T20:00:00,1645992000
17,160.3,2022-02-27:19,8.3,4.1,9,4.21,0.5,2022-02-28T06:00:00,2022-02-27T19:00:00,1645988400
12,148.9,2022-02-27:18,7.6,4.5,6.5,2.83,0.4,2022-02-28T05:00:00,2022-02-27T18:00:00,1645984800
